序号,BV号,时间,播放量,点赞,投币,分享,收藏,弹幕,评论,APP观看,网页观看,总观看,播赞比,周刊总分,周刊播放,周刊互动,周刊收藏,周刊硬币,周刊点赞,周刊修正A,周刊修正B,周刊修正C,周刊修正D,周刊基础播放,年刊总分,年刊播放,年刊互动,年刊收藏,年刊硬币,年刊点赞,年刊修正A,年刊修正B,年刊修正C
1,BV1Y2oNB1ESs,2026-04-20T21:47:58.075512,104764,27692,25866,6348,15449,919,4589,,,,,,,,,,,,,,,,,,,,,,,,
2,BV1Y2oNB1ESs,2026-04-20T21:48:49.814241,105419,27790,25944,6360,15498,919,4613,,,,,,,,,,,,,,,,,,,,,,,,
3,BV1Y2oNB1ESs,2026-04-20T21:50:04.793888,106087,27935,26058,6401,15583,921,4629,,,,,,,,,,,,,,,,,,,,,,,,
4,BV1Y2oNB1ESs,2026-04-20T21:51:19.796466,106772,28073,26159,6426,15655,925,4625,,,,,,,,,,,,,,,,,,,,,,,,
5,BV1Y2oNB1ESs,2026-04-20T21:52:34.840015,107500,28259,26306,6460,15748,932,4647,,,,,,,,,,,,,,,,,,,,,,,,
6,BV1Y2oNB1ESs,2026-04-20T21:53:49.902757,108206,28410,26435,6490,15821,938,4667,,,,,,,,,,,,,,,,,,,,,,,,
7,BV1Y2oNB1ESs,2026-04-20T21:55:04.855278,108906,28554,26555,6525,15912,941,4683,,,,,,,,,,,,,,,,,,,,,,,,
8,BV1Y2oNB1ESs,2026-04-20T21:56:19.880515,109571,28692,26672,6553,16000,945,4695,,,,,,,,,,,,,,,,,,,,,,,,
9,BV1Y2oNB1ESs,2026-04-20T21:57:34.879709,110307,28858,26782,6592,16087,949,4708,,,,,,,,,,,,,,,,,,,,,,,,
10,BV1Y2oNB1ESs,2026-04-20T21:59:29.278677,111020,29073,26989,6638,16229,953,4731,,,,,,,,,,,,,,,,,,,,,,,,
11,BV1Y2oNB1ESs,2026-04-20T22:00:44.890480,111722,29217,27119,6665,16312,957,4745,,,,,,,,,,,,,,,,,,,,,,,,
12,BV1Y2oNB1ESs,2026-04-20T22:01:59.807096,112430,29361,27225,6696,16382,958,4758,,,,,,,,,,,,,,,,,,,,,,,,
13,BV1Y2oNB1ESs,2026-04-20T22:03:14.811481,113149,29518,27346,6723,16473,965,4770,,,,,,,,,,,,,,,,,,,,,,,,
14,BV1Y2oNB1ESs,2026-04-20T22:04:29.805143,113826,29672,27484,6764,16559,967,4793,,,,,,,,,,,,,,,,,,,,,,,,
